No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
49,Economics,,Male,Number,5236,4997,,113,420,1027,2361,3386,4308,4750,247
50,Economics,,Male,Percentage,,,43.9,2.3%,8.4%,20.6%,47.2%,67.8%,86.2%,95.1%,4.9%
51,Economics,,Female,Number,5853,5680,,104,365,970,2640,3828,4918,5414,266
52,Economics,,Female,Percentage,,,34.8,1.8%,6.4%,17.1%,46.5%,67.4%,86.6%,95.3%,4.7%
53,Economics,,Total,Number,11089,10677,,217,785,1997,5001,7214,9226,10164,513
54,Economics,,Total,Percentage,,,39.1,2.0%,7.4%,18.7%,46.8%,67.6%,86.4%,95.2%,4.8%
55,English Language,,Male,Number,20969,20621,,144,688,1884,5322,10444,15637,18433,2188
56,English Language,,Male,Percentage,,,-,0.7%,3.3%,9.1%,25.8%,50.6%,75.8%,89.4%,10.6%
57,English Language,,Female,Number,20401,20195,,283,986,2326,6036,11350,16576,19037,1158
58,English Language,,Female,Percentage,,,-,1.4%,4.9%,11.5%,29.9%,56.2%,82.1%,94.3%,5.7%
59,English Language,,Total,Number,41370,40816,,427,1674,4210,11358,21794,32213,37470,3346
60,English Language,,Total,Percentage,,,-,1.0%,4.1%,10.3%,27.8%,53.4%,78.9%,91.8%,8.2%
61,Ethics and Religious Studies,,Male,Number,286,250,,0,4,11,49,148,221,240,10
62,Ethics and Religious Studies,,Male,Percentage,,,96.0,0.0%,1.6%,4.4%,19.6%,59.2%,88.4%,96.0%,4.0%
63,Ethics and Religious Studies,,Female,Number,375,350,,5,18,44,131,253,329,347,3
64,Ethics and Religious Studies,,Female,Percentage,,,96.0,1.4%,5.1%,12.6%,37.4%,72.3%,94.0%,99.1%,0.9%
65,Ethics and Religious Studies,,Total,Number,661,600,,5,22,55,180,401,550,587,13
