No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5765,5535,,162,547,1276,2733,4130,5105,5386,149
2,Biology,,Male,Percentage,,,41.5,2.9%,9.9%,23.1%,49.4%,74.6%,92.2%,97.3%,2.7%
3,Biology,,Female,Number,7338,7079,,102,489,1298,3166,5041,6511,6894,185
4,Biology,,Female,Percentage,,,36.2,1.4%,6.9%,18.3%,44.7%,71.2%,92.0%,97.4%,2.6%
5,Biology,,Total,Number,13103,12614,,264,1036,2574,5899,9171,11616,12280,334
6,Biology,,Total,Percentage,,,38.5,2.1%,8.2%,20.4%,46.8%,72.7%,92.1%,97.4%,2.6%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,2892,2777,,52,186,431,1209,1930,2518,2687,90
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,40.8,1.9%,6.7%,15.5%,43.5%,69.5%,90.7%,96.8%,3.2%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3496,3404,,36,175,464,1456,2440,3137,3329,75
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,30.5,1.1%,5.1%,13.6%,42.8%,71.7%,92.2%,97.8%,2.2%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6388,6181,,88,361,895,2665,4370,5655,6016,165
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,35.1,1.4%,5.8%,14.5%,43.1%,70.7%,91.5%,97.3%,2.7%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1322,1244,,9,34,87,338,743,1099,1199,45
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,74.0,0.7%,2.7%,7.0%,27.2%,59.7%,88.3%,96.4%,3.6%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1393,1330,,11,47,118,469,879,1219,1288,42
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,73.0,0.8%,3.5%,8.9%,35.3%,66.1%,91.7%,96.8%,3.2%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2715,2574,,20,81,205,807,1622,2318,2487,87
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,73.5,0.8%,3.1%,8.0%,31.4%,63.0%,90.1%,96.6%,3.4%
19,Chemistry,,Male,Number,6455,6136,,174,710,1782,3323,4806,5448,5887,249
20,Chemistry,,Male,Percentage,,,27.6,2.8%,11.6%,29.0%,54.2%,78.3%,88.8%,95.9%,4.1%
21,Chemistry,,Female,Number,5524,5256,,124,510,1283,2544,3979,4593,5037,219
22,Chemistry,,Female,Percentage,,,21.5,2.4%,9.7%,24.4%,48.4%,75.7%,87.4%,95.8%,4.2%
